a,b,c,d,e,f,g,h,i,
17.552,7,6.72863,6.93827,6.74433,6.62057,6.69335,6.38194,6.6327,
17.6,7,6.74231,6.96822,6.77609,6.63941,6.70866,6.38361,6.65196,
17.648,7,6.75598,6.99794,6.8076,6.65721,6.71807,6.38389,6.63023,
17.696,7,6.76965,7.0274,6.83883,6.67406,6.72186,6.38363,6.64187,
17.744,7,6.7833,7.05657,6.86977,6.69003,6.72047,6.38333,6.66194,
17.792,7,6.79695,7.08542,6.9004,6.70525,6.71445,6.38314,6.64349,
17.84,7,6.81059,7.11393,6.9307,6.71982,6.70445,6.3829,6.65259,
17.888,7,6.82422,7.14205,6.96066,6.73388,6.69124,6.38224,6.65438,
17.936,7,6.83784,7.16978,6.99026,6.74755,6.67567,6.3806,6.63412,
17.984,7,6.85146,7.19709,7.01949,6.76099,6.65862,6.37741,6.65405,
18.032,7,6.86507,7.22395,7.04835,6.77433,6.64103,6.37215,6.66024,
18.08,7,6.87866,7.25035,7.07683,6.78772,6.62383,6.36446,6.64502,
18.128,7,6.89226,7.27627,7.10492,6.80131,6.60796,6.35421,6.66225,
18.176,7,6.90584,7.30168,7.13261,6.81525,6.59431,6.34158,6.65668,
18.224,7,6.91941,7.32658,7.15991,6.82966,6.58372,6.32712,6.64229,
18.272,7,6.93298,7.35095,7.1868,6.84469,6.57695,6.31167,6.66712,
18.32,7,6.94654,7.37477,7.21329,6.86046,6.57466,6.29641,6.66019,
18.368,7,6.96009,7.39804,7.23938,6.87709,6.57742,6.28279,6.64338,
18.416,7,6.97364,7.42074,7.26506,6.89469,6.58565,6.27239,6.66414,
18.464,7,6.98717,7.44288,7.29033,6.91334,6.59967,6.26689,6.64848,
18.512,7,7.0007,7.46443,7.31519,6.93313,6.61964,6.26794,6.63702,
18.56,7,7.01422,7.4854,7.33964,6.95412,6.64559,6.27703,6.67291,
18.608,7,7.02773,7.50579,7.36368,6.97636,6.67741,6.29536,6.65521,
18.656,7,7.04124,7.52558,7.38731,6.99989,6.71486,6.32382,6.6387,
18.704,7,7.05474,7.54479,7.41052,7.02472,6.75757,6.36284,6.67749,
18.752,7,7.06823,7.56341,7.43332,7.05086,6.80506,6.41238,6.64353,
18.8,7,7.08171,7.58143,7.45571,7.07828,6.85673,6.47191,6.62797,
18.848,7,7.09519,7.59888,7.47768,7.10696,6.91191,6.5404,6.70827,
18.896,7,7.10865,7.61574,7.49923,7.13683,6.96986,6.61639,6.64151,
18.944,7,7.12211,7.63204,7.52036,7.16784,7.02977,6.69803,6.6056,
18.992,7,7.13556,7.64776,7.54106,7.19991,7.0908,6.78317,7.05961,
19.04,8,7.14901,7.66293,7.56134,7.23293,7.15212,6.86952,7.63701,
19.088,8,7.16245,7.67754,7.58118,7.26681,7.21286,6.95468,7.74095,
19.136,8,7.17588,7.69162,7.60059,7.30141,7.27222,7.03634,7.63338,
19.184,8,7.1893,7.70516,7.61956,7.3366,7.3294,7.11236,7.67786,
19.232,8,7.20272,7.71819,7.63809,7.37224,7.38368,7.18087,7.70196,
19.28,8,7.21612,7.73071,7.65617,7.40818,7.43441,7.24038,7.65199,
19.328,8,7.22952,7.74274,7.6738,7.44427,7.48101,7.28983,7.67106,
19.376,8,7.24292,7.7543,7.69098,7.48033,7.52302,7.32863,7.69091,
19.424,8,7.2563,7.76539,7.70769,7.51621,7.56003,7.35669,7.66611,
19.472,8,7.26968,7.77604,7.72393,7.55174,7.5918,7.37438,7.67835,
19.52,8,7.28305,7.78625,7.73971,7.58674,7.61815,7.3825,7.68933,
19.568,8,7.29642,7.79605,7.75501,7.62105,7.63903,7.38224,7.66326,
19.616,8,7.30978,7.80545,7.76983,7.65452,7.6545,7.37508,7.66403,
19.664,8,7.32313,7.81447,7.78418,7.68697,7.66469,7.36268,7.67589,
19.712,8,7.33647,7.82313,7.79803,7.71826,7.66987,7.34683,7.66328,
19.76,8,7.34981,7.83144,7.8114,7.74825,7.67036,7.3293,7.66667,
19.808,8,7.36313,7.83943,7.82429,7.7768,7.66657,7.31177,7.67704,
19.856,8,7.37646,7.84711,7.83668,7.80378,7.65897,7.29574,7.66238,
19.904,8,7.38977,7.8545,7.84858,7.82909,7.64807,7.28246,7.65731,
19.952,8,7.40308,7.86161,7.85999,7.85262,7.63444,7.27288,7.66653,
20,8,7.41638,7.86848,7.87091,7.87428,7.61865,7.26762,7.65988,
20.048,8,7.42967,7.87511,7.88135,7.89401,7.60129,7.26691,7.6568,
20.096,8,7.44296,7.88152,7.8913,7.91175,7.58294,7.2707,7.66391,
20.144,8,7.45624,7.88773,7.90077,7.92744,7.56417,7.27858,7.65477,
20.192,8,7.46952,7.89377,7.90977,7.94108,7.5455,7.28991,7.64547,
20.24,8,7.48278,7.89964,7.9183,7.95264,7.52744,7.30381,7.65238,
20.288,8,7.49604,7.90537,7.92638,7.96213,7.51044,7.3193,7.65281,
20.336,8,7.50929,7.91097,7.934,7.96957,7.49487,7.33529,7.64947,
20.384,8,7.52254,7.91646,7.94119,7.97501,7.48106,7.35072,7.65541,
20.432,8,7.53578,7.92186,7.94794,7.97848,7.46927,7.36461,7.65125,
20.48,8,7.54901,7.92718,7.95428,7.98005,7.45968,7.37609,7.63769,
20.528,8,7.56224,7.93244,7.96022,7.97982,7.45241,7.38449,7.63628,
20.576,8,7.57546,7.93765,7.96577,7.97786,7.4475,7.38936,7.63691,
20.624,8,7.58867,7.94283,7.97095,7.97428,7.44493,7.39048,7.63171,
20.672,8,7.60188,7.948,7.97578,7.96921,7.4446,7.38789,7.63504,
20.72,8,7.61507,7.95317,7.98027,7.96277,7.44637,7.38185,7.6379,
20.768,8,7.62827,7.95834,7.98445,7.95509,7.45003,7.37283,7.62836,
20.816,8,7.64145,7.96355,7.98834,7.94632,7.45535,7.36149,7.62377,
20.864,8,7.65463,7.96878,7.99195,7.93662,7.46205,7.34859,7.62688,
20.912,8,7.6678,7.97407,7.99532,7.92613,7.46982,7.33499,7.62332,
20.96,8,7.68097,7.97942,7.99846,7.91503,7.47834,7.32156,7.62201,
21.008,8,7.69413,7.98483,8.0014,7.90348,7.48729,7.30912,7.62707,
21.056,8,7.70728,7.99033,8.00417,7.89163,7.49634,7.29842,7.62169,
21.104,8,7.72043,7.99591,8.00679,7.87967,7.50517,7.29008,7.61212,
21.152,8,7.73357,8.0016,8.00929,7.86776,7.5135,7.28452,7.61393,
